lon,lat
-71.6484804,-35.4232444
-80.1917902,25.7616798
110.3694896,-7.7955798
-99.133208,19.4326077
133.775136,-25.274398
9.1216613,39.2238411
-81.2141914,43.0021981
10.9254728,50.6843502
-79.3831843,43.653226
-79.3831843,43.653226
-93.0738305,45.0574658
-114.0708459,51.0486151
-91.2445494,43.8031114
-108.985882,25.7904657
-66.4758583,18.433005
12.1489337,49.6743636
-97.1705678,32.8234621
-108.985882,25.7904657
-99.1603133,19.4148155
13.404954,52.5200066
-58.443832,-23.442503
-70.6692655,-33.4488897
-79.3370188,43.8561002
-77.4291298,39.0066993
-77.1710914,38.882334
138.252924,36.204824
-85.323214,51.253775
-76.2177046,43.106456
-91.9206505,44.9028713
-77.772537,0.565147
-71.542969,-35.675147
-92.9376887,47.4271546
-102.552784,23.634501
-86.8515279,21.161908
-119.4179324,36.778261
-78.6228504,-1.2543408
-99.133208,19.4326077
10.2171956,55.5320482
-95.712891,37.09024
-121.4943996,38.5815719
-64.183316,10.431916
-83.0457538,42.331427
-87.9645077,41.8500302
144.9630576,-37.8136276
-78.183406,-1.831239
-70.9170683,-53.1638329
-77.0368707,38.9071923
-73.0443904,-36.8201352
-93.2650108,44.977753
-70.6664309,-33.4739211
-122.0651819,37.9100783
-1.940936,52.30897
-2.2380335,51.8642112
80.2707184,13.0826802
-70.9993754,42.2236502
-77.1527578,39.0839973
-81.9320482,34.9495672
-100.3161126,25.6866142
-99.133208,19.4326077
-80.8486846,35.4993031
139.6917064,35.6894875
-71.6484804,-35.4232444
-115.1398296,36.1699412
103.819836,1.352083
9.3892445,47.6363377
-121.2890062,44.0706845
-94.1632404,45.5579451
37.906193,-0.023559
10.451526,51.165691
-115.1398296,36.1699412
-93.7379667,36.4012037
10.451526,51.165691
13.3612671,38.1156879
-70.6692655,-33.4488897
-72.1023351,-36.6062618
-79.637971,43.719691
12.5683372,55.6760968
7.6868565,45.070312
-84.3879824,33.7489954
-1.553621,47.218371
8.9309469,45.8642658
-74.072092,4.7109886
9.1829321,48.7758459
2.1734035,41.3850639
15.6472914,38.1113006
-79.6903316,44.3893556
34.888822,-6.369028
26.0246325,44.4870954
174.885971,-40.900557
-4.9088785,51.674078
-95.712891,37.09024
-70.6692655,-33.4488897
-70.1356692,-20.2307033
-78.1210327,0.3697668
12.56738,41.87194
138.252924,36.204824
-80.5685263,28.0169209
151.225364,-33.889067
-87.687761,41.921774
-79.5394625,43.8430176
-83.9207392,35.9606384
-93.6091064,41.6005448
-96.6705503,33.1031744
-117.1610838,32.715738
-110.926479,32.2217429
-95.712891,37.09024
-73.7567459,40.7435843
-93.9993996,44.1635775
11.4978895,48.7904472
8.4036527,49.0068901
12.2303935,51.8428278
-77.0368707,38.9071923
6.9602786,50.937531
-74.0059728,40.7127753
139.6987557,35.6615117
13.9005015,51.72805
-104.990251,39.7392358
12.2423302,51.8308166
13.5094648,52.4253121
10.451526,51.165691
10.451526,51.165691
10.0511934,50.0780217
8.5556826,40.7259269
34.851612,31.046051
11.3426162,44.494887
9.1216613,39.2238411
-2.0157863,55.7886682
-95.9931758,36.7525914
-84.2807329,30.4382559
-99.133208,19.4326077
-83.0262121,40.110773
8.8004529,46.331734
-116.5765035,53.9332706
-3.435973,55.378051
-2.7877294,54.0103942
9.0851765,45.8080597
-107.3940117,24.8090649
-0.1277583,51.5073509
-70.6504896,-33.4375545
-77.0368707,38.9071923
23.7275388,37.9838096
-93.0899578,44.9537029
-111.9260519,33.4941704
-93.2922989,37.2089572
-71.0588801,42.3600825
-78.4448055,-1.4702027
-71.542969,-35.675147
-79.727151,-1.9606263
-70.3125988,-18.4782534
-113.81064,52.2693195
5.8372264,51.8125626
-88.7878678,43.7844397
-92.7232456,41.7434092
-72.1023351,-36.6062618
153.1093922,-30.298612
-71.6886296,42.8801702
-1.833781,53.847389
-95.1456475,43.1450419
-74.0059728,40.7127753
-56.1645314,-34.9011127
-77.0947092,38.984652
15.4068079,40.5625825
6.9602786,50.937531
55.2707828,25.2048493
7.3089527,50.118346
-72.5903739,-38.7359018
-94.1790959,36.3330424
-74.2401609,40.8298006
19.040235,47.497912
13.5714285,41.2107299
-94.7976958,29.3013479
17.706466,40.658316
5.8718235,52.045155
101.975766,4.210484
-115.1398296,36.1699412
-123.133569,49.1665898
-84.3879824,33.7489954
-116.2146068,43.6187102
12.56738,41.87194
100.938608,4.7757118
-77.026088,38.9906657
-61.0471355,-33.6022037
12.1016236,49.0134297
14.2076688,40.9731743
-77.0732748,39.5156627
-79.3831843,43.653226
-122.3320708,47.6062095
-72.1416132,-41.9197779
-70.7406259,-34.1701324
11.4978895,48.7904472
9.189982,45.4642035
-100.8112885,20.5279612
-107.4795173,25.1721091
-109.9398044,27.4826427
13.404954,52.5200066
-75.5138166,5.070275
-95.712891,37.09024
-122.1817252,37.4529598
-79.9223592,-2.1709979
-81.5157535,27.6648274
-122.4194155,37.7749295
15.6756028,40.7181587
-77.026088,38.9906657
10.9920051,43.7651126
-96.5991593,32.7667955
-75.2135508,39.9954635
9.9936819,53.5510846
2.213749,46.227638
-71.1097335,42.3736158
-2.9262307,51.105097
-73.722844,40.621995
98.303954,7.892996
-43.1728965,-22.9068467
-70.5992005,-33.4851471
9.189982,45.4642035
-1.526087,52.3393289
-105.7820674,39.5500507
78.96288,20.593684
-71.6484804,-35.4232444
12.9213697,50.827845
-78.6383128,-1.2726572
-121.8374777,39.7284944
-70.6758505,-33.2044597
-80.0942087,26.9342246
-122.6059582,46.9420431
-75.1969346,39.8422093
-106.346771,56.130366
-66.590149,18.220833
-6.8498129,33.9715904
11.5892372,50.927054
-0.114136,51.5234388
-72.5903739,-38.7359018
9.921747,57.0488195
-79.0263645,-1.687199
-84.2807329,30.4382559
-73.9441579,40.6781784
138.252924,36.204824
-75.6971931,45.4215296
-82.3940104,34.8526176
18.4240553,-33.9248685
-70.7631335,-33.5209155
-95.712891,37.09024
9.9936819,53.5510846
-73.017378,-36.9532166
-73.0443904,-36.8201352
-70.3321587,-27.3665763
-1.8157647,47.2780468
136.9065647,35.1801883
-0.1100198,51.6101735
-99.9018131,31.9685988
-74.0017286,40.7379246
-99.1905974,19.3723335
-78.4678382,-0.1806532
10.203921,56.162939
-70.6712247,-33.4442959
-99.2215659,18.9242095
-75.151088,40.01109
-72.068265,-45.5712254
-100.3161126,25.6866142
-86.01335,39.9567548
-77.1527578,39.0839973
10.5267696,52.2688736
-66.6140616,18.0110768
-74.0059728,40.7127753
-81.3792365,28.5383355
-84.6330115,40.1028264
-71.5500276,-33.0153481
-66.58973,6.42375
-79.8254722,-3.7585919
14.0193352,48.1199433
-70.6930568,19.4791963
-78.866111,43.077222
103.846656,46.862496
-3.435973,55.378051
-97.3393788,38.0320628
-99.2215659,18.9242095
-78.1260129,0.3499768
-1.8157647,47.2780468
6.9446887,51.529086
13.3630339,54.1831113
14.2541872,41.0820867
-84.323258,33.9392682
8.54094,45.8830554
10.097677,44.0793245
12.4963655,41.9027835
-66.1057355,18.4655394
-70.050314,-27.5660558
-68.9293819,-22.4543923
-72.1023351,-36.6062618
-95.3698028,29.7604267
-83.9811014,34.1140497
-85.6811017,42.9851272
-80.782127,8.537981
14.0153557,37.5999938
-70.1356692,-20.2307033
-82.0131924,39.9403453
6.7734556,51.2277411
-70.305645,-18.4790774
-71.6484804,-35.4232444
-72.331113,-40.2310217
-72.1416132,-41.9197779
-70.8119953,-30.540181
-73.0443904,-36.8201352
-69.1328491,-23.8634189
-2.0782533,51.8993855
-71.5996137,-35.846407
11.5819805,48.1351253
-87.0867789,20.6302024
4.3517211,50.8503463
-74.0059728,40.7127753
-73.7624137,-42.4801402
-81.2452768,42.9849233
11.5819805,48.1351253
-84.5120196,39.1031182
-78.6381787,35.7795897
-57.575926,-25.2637399
10.89779,48.3705449
8.946256,44.4056499
4.2875198,52.0996741
-71.5996137,-35.846407
13.404954,52.5200066
13.7289167,42.1920119
-72.6864154,-45.4035437
-70.9170683,-53.1638329
11.5819805,48.1351253
73.8567437,18.5204303
-95.8539654,36.1193454
-70.1356692,-20.2307033
88.4140497,22.5747221
13.7768182,45.6495264
-94.292162,39.028811
7.6615938,51.4332367
-70.6765026,-33.4940901
103.4492838,15.9335894
-78.9503525,-4.0655892
5.1214201,52.0907374
4.3517211,50.8503463
12.0807203,50.8850706
3.057256,50.62925
-95.624767,33.6018323
7.8421043,47.9990077
114.109497,22.396428
12.3908279,43.1107168
11.02988,50.9847679
-76.805345,39.132015
-0.39032,51.656489
11.02988,50.9847679
-118.2436849,34.0522342
-57.5561071,-25.298374
-99.133208,19.4326077
-88.296146,18.5001889
-73.1149469,-40.5761897
-118.3850051,34.0896679
106.8961132,-6.2320993
-1.2577263,51.7520209
-115.1398296,36.1699412
10.451526,51.165691
-111.8991668,50.5659752
17.2225389,40.9948996
-88.7589488,35.9197885
6.083468,50.77456
30.802498,26.820553
-99.0477903,19.6009074
9.501785,56.26392
11.759207,55.224613
8.6724335,49.3987524
-73.4766754,45.4687797
78.486671,17.385044
-77.0340315,38.9031004
8.5919561,12.0021794
114.109497,22.396428
-8.645217,41.1601199
16.3463791,39.3087714
13.5714285,41.2107299
72.8776559,19.0759837
-74.0059728,40.7127753
174.8728289,-41.2169383
7.0115552,51.4556432
-76.1476538,36.8954012
27.8540323,-26.2485377
-100.3161126,25.6866142
8.8159083,51.7837494
-74.0059728,40.7127753
-93.2650108,44.977753
8.4431621,47.0843237
-95.532214,29.613547
18.0685808,59.3293235
123.4597711,41.7835809
4.835659,45.764043
139.8835651,36.565725
9.3976704,45.8565698
-122.9060999,39.0109356
16.3738189,48.2081743
-117.1610838,32.715738
134.3680832,34.0735984
3.3792057,6.5243793
28.0473051,-26.2041028
22.00333,48.0394954
138.6007456,-34.9284989
-84.1916069,39.7589478
-73.998217,40.714368
-111.8550383,41.6340465
9.7320104,52.3758916
36.8219462,-1.2920659
106.8650395,-6.17511
-105.7820674,39.5500507
12.4963655,41.9027835
103.819836,1.352083
-79.9192702,22.4937204
-102.552784,23.634501
-119.4179324,36.778261
-97.5164276,35.4675602
9.9975008,53.5706756
6.5463156,9.5835546
-70.6085886,41.5532208
-100.3161126,25.6866142
-75.876472,38.7437759
7.398574,9.0764785
-74.6672226,40.3572976
-120.7401385,47.7510741
-102.552784,23.634501
-101.0020119,47.5514926
-79.9013041,-2.2375518
107.6191228,-6.9174639
-96.7265889,17.0731842
73.8567437,18.5204303
-86.241905,15.199999
12.5683372,55.6760968
138.252924,36.204824
10.4950609,43.8376211
-121.4943996,38.5815719
-104.6531759,24.0277202
-45.2618568,-21.8657333
11.791372,55.442952
153.0251235,-27.4697707
-45.5563555,-23.0204559
126.6884811,45.762775
-70.6980245,-33.4082737
-121.9780153,37.7799273
-116.6108567,46.7824973
-79.9958864,40.4406248
139.7319925,35.7090259
145.3087506,-38.024938
31.2357116,30.0444196
-99.133208,19.4326077
-118.2436849,34.0522342
-58.4487278,-34.5743883
-43.1728965,-22.9068467
-94.6707917,38.9822282
-89.3985283,40.6331249
-122.2711137,37.8043637
-70.6692655,-33.4488897
139.3179362,35.5989918
-117.1610838,32.715738
-122.0651819,37.9100783
-93.097702,41.8780025
-95.2352501,38.9716689
13.7289167,42.1920119
-83.9811014,34.1140497
-97.7430608,30.267153
13.7372621,51.0504088
-99.133208,19.4326077
-117.1610838,32.715738
-103.7999509,40.2502582
-122.2913078,37.8271784
-87.5286325,38.677269
-73.7751326,41.0748188
-82.9000751,32.1656221
-96.126019,41.183578
-77.2013705,39.1434406
100.4939845,13.7626669
-70.7631335,-33.5209155
-93.0899578,44.9537029
-99.1013498,18.6813049
-66.9036063,10.4805937
-70.1930064,-22.0857976
-70.3975022,-23.6509279
-69.766667,-25.283333
7.4474468,46.9479739
-73.9441579,40.6781784
-99.133208,19.4326077
-95.2297209,38.967283
139.6380256,35.4437078
-99.1373136,19.4361609
-80.085059,42.1292241
-70.65074,-33.454275
-72.073063,-45.5698334
-65.4816759,18.1374242
138.2271687,34.7413036
-71.6055123,-33.5922807
-111.8916255,40.5266931
12.4963655,41.9027835
-77.8600012,40.7933949
-99.9613512,20.3905428
12.9035965,41.4675671
-99.133208,19.4326077
-76.6412712,39.0457549
-95.712891,37.09024
-92.1974065,41.9983294
-74.924321,42.7006303
-107.4795173,25.1721091
-77.0368707,38.9071923
-82.907123,40.4172871
-86.902298,32.3182314
121.0851097,14.5763768
13.7929636,43.1801759
-93.6091064,41.6005448
-92.068731,32.5309807
151.2092955,-33.8688197
-78.9503525,-4.0655892
-72.1023351,-36.6062618
-73.5544177,45.5074534
-118.1445155,34.1477849
10.4950609,43.8376211
-99.133208,19.4326077
15.0830304,37.5078772
-97.735319,30.306814
15.0830304,37.5078772
4.7817564,52.1802606
-70.5831069,-33.6793441
35.862285,33.854721
-69.4454689,45.253783
-117.8370968,33.6446621
-102.4107493,34.2331373
-81.0348144,34.0007104
6.6371433,49.749992
-2.9879859,53.4063747
-110.1623171,38.995507
-88.89653,13.794185
-98.9548261,18.8126047
-83.6824384,42.0853204
-3.188267,55.953252
-77.1945247,41.2033216
-117.1610966,32.7157305
-70.1356692,-20.2307033
-66.590149,18.220833
-55.2590707,-25.4302418
153.1932534,-28.6104322
14.550072,47.516231
-116.3915131,43.6121087
-72.1023351,-36.6062618
-66.590149,18.220833
-111.0000281,32.2266261
5.291266,52.132633
18.1750161,40.3515155
-122.435965,37.7218132
-89.4012302,43.0730517
-49.5483671,-27.4410179
-71.5723953,43.1938516
8.6821267,50.1109221
-72.068265,-45.5712254
-80.0656611,-3.5562451
-122.2913078,37.8271784
-70.6613511,-33.5264495
-81.5157535,27.6648274
-96.685679,33.1747056
-66.1653224,18.389396
-84.3879824,33.7489954
-9.0567905,53.270668
-2.2426305,53.4807593
-59.6157156,13.1097788
-79.4028705,43.6560395
-70.6692655,-33.4488897
-70.8178142,-27.0667
20.1414253,46.2530102
-125.2733353,50.0331226
-86.1349019,40.2671941
-81.2452768,42.9849233
-57.575926,-25.2637399
29.9713427,31.2353047
9.6626339,45.0546112
11.0766654,49.4521018
-90.4643906,38.6887567
0.4690888,51.7343313
-49.4870702,-16.654924
12.453389,41.902916
9.8450766,52.6367036
-93.6319131,42.0307812
7.5353625,45.0057265
-119.018876,35.294977
-70.6504896,-33.4375545
-79.391605,0.0091672
8.6675419,49.6430169
-79.3741834,44.919643
13.0182123,46.403496
-48.5482195,-27.5948698
-99.2215659,18.9242095
9.123962,45.4781236
-96.7969879,32.7766642
34.508523,-8.783195
-79.6109049,-3.6873033
-95.2041135,32.5884735
-78.183406,-1.831239
-79.1879383,-0.2521882
23.0011989,-19.1905321
-82.9987942,39.9611755
-86.01335,39.9567548
-70.599767,-33.5141494
-70.6692655,-33.4488897
-81.2154413,29.5584703
-85.7584557,38.2526647
-95.7739697,36.0420724
-84.5613355,39.3995008
-123.0350963,44.9428975
-69.4454689,45.253783
12.3155151,45.4408474
-78.5084937,45.0467132
15.5446302,41.4621984
-100.9551369,20.473366
-120.3504838,47.4471193
-72.8720844,41.3678757
-116.6256752,32.563609
-110.847022,32.220763
-56.4495924,-25.400442
-1.890401,52.486243
15.8691261,40.2399689
-88.4153847,44.2619309
-99.1495107,19.4356338
-95.2352501,38.9716689
9.1216613,39.2238411
7.6093633,50.3078274
-65.8793288,18.0505201
10.23927,47.69424
-77.042754,-12.0463731
-77.0947092,38.984652
-79.8056661,-3.3259044
-79.6109049,-3.6873033
-66.6140616,18.0110768
-46.6333094,-23.5505199
9.501785,56.26392
-99.1013498,18.6813049
9.950687,55.3477316
12.4963655,41.9027835
-77.0909809,38.8816208
-106.4245478,31.6903638
-73.567256,45.5016889
-77.0368707,38.9071923
-79.8184684,-3.2368706
-73.9712488,40.7830603
-99.1495107,19.4356338
-2.539603,42.2870733
-79.9668308,-3.4593888
12.8856556,49.0800394
-107.3940117,24.8090649
-72.8804506,41.7068321
-101.6859605,21.1250077
-72.3691987,-37.470453
-94.7335709,38.9536174
-80.799583,35.203767
6.9602786,50.937531
-87.6806932,41.9429811
-92.9475061,17.989456
-72.3007623,-46.378345
-51.2176584,-30.0346471
-122.1107711,37.6339611
-2.9605206,58.9809401
-105.1273817,39.9193013
-74.8624092,40.2302142
4.4024643,51.2194475
-106.2800242,43.4113604
-102.4107493,34.2331373
13.41477,48.55653
-87.0611412,41.4730948
7.6261347,51.9606649
-70.1356692,-20.2307033
-80.9450759,35.0073697
-87.9703461,42.0039178
10.2118019,45.5415526
-98.2062727,19.0414398
12.5801539,48.8777333
-93.2401366,44.9663002
-74.2179326,43.2994285
-98.7623874,20.0910963
-72.0047731,-34.3867245
-108.2427502,36.7562059
-121.7943044,37.2674211
20.2038559,47.8057617
2.40963,48.894533
-72.5857979,-38.7402113
-89.3985283,40.6331249
-77.0362378,-12.0271206
-77.0077636,-12.1876499
0.9707801,52.1872472
-71.6484804,-35.4232444
12.3155151,45.4408474
-94.4191177,39.2461138
-65.8203943,18.1551337
-77.285787,1.2058837
-110.968881,32.2168967
-36.6639577,-9.755588
-79.3890833,43.6740965
-71.542969,-35.675147
2.3435019,48.9146797
10.7522454,59.9138688
-1.1743197,52.3555177
-71.6126885,-33.047238
-72.3007623,-46.378345
-77.042754,-12.0463731
13.3863992,45.6817741
11.8791853,54.7651204
-117.935274,34.033879
32.5825197,0.3475964
-79.0219413,-2.8998316
-72.4966896,7.8890971
-80.1917902,25.7616798
-73.96785,40.757627
-74.4056612,40.0583238
-79.9703547,-1.8636132
-73.1149469,-40.5761897
-74.6329363,40.5695474
9.576148,39.260999
-108.9917304,25.7904061
-1.154471,51.5759029
-78.8783689,42.8864468
-82.7994194,42.6960659
-80.2225448,-3.4763823
-70.3321587,-27.3665763
8.6221612,45.44693
-84.9877094,32.4609764
-71.2166838,-33.6861588
-79.5940544,-2.1387682
-68.99002,12.16957
-99.98301,21.9243508
-71.5897584,-33.0628405
-80.3047846,40.6953437
-86.702419,36.122074
-57.575926,-25.2637399
-0.4793583,51.8066955
-70.6415277,-33.4791771
11.1119574,50.1112251
7.354919,47.603262
-70.7008631,19.4675855
