"","lon","lat"
"963",-3.188267,55.953252
"965",-117.1610966,32.7157305
"968",-70.1356692,-20.2307033
"970",-66.590149,18.220833
"971",-55.2590707,-25.4302418
"973",14.550072,47.516231
"976",-116.3915131,43.6121087
"978",-72.1023351,-36.6062618
"979",-66.590149,18.220833
"982",5.291266,52.132633
"984",-122.435965,37.7218132
"989",-71.5723953,43.1938516
"990",8.6821267,50.1109221
"992",-80.0656611,-3.5562451
"993",-122.2913078,37.8271784
"994",-70.6613511,-33.5264495
"995",-81.5157535,27.6648274
"996",-96.685679,33.1747056
"998",-66.1653224,18.389396
"999",-84.3879824,33.7489954
"1001",-9.0567905,53.270668
"1004",-79.4028705,43.6560395
"1006",-70.8178142,-27.0667
"1008",20.1414253,46.2530102
"1009",-125.2733353,50.0331226
"1013",-70.7406259,-34.1701324
"1015",-79.4084652,45.1841122
"1016",9.6626339,45.0546112
"1017",11.0766654,49.4521018
"1018",-90.4643906,38.6887567
"1019",0.4690888,51.7343313
"1020",-49.4870702,-16.654924
"1021",12.453389,41.902916
"1025",7.5353625,45.0057265
"1028",-79.391605,0.0091672
"1029",7.6868565,45.070312
"1030",8.6675419,49.6430169
"1032",-79.3741834,44.919643
"1035",-99.2215659,18.9242095
"1036",9.123962,45.4781236
"1040",-79.6109049,-3.6873033
"1041",-95.2041135,32.5884735
"1042",13.99745,50.93654
"1045",-82.9987942,39.9611755
"1046",-86.01335,39.9567548
"1049",-75.6971931,45.4215296
"1057",-123.0350963,44.9428975
"1058",-69.4454689,45.253783
"1060",-78.5084937,45.0467132
"1062",12.989615,41.6552418
"1067",-87.558606,41.7448059
"1068",-74.4056612,40.0583238
"1070",-110.847022,32.220763
"1071",-56.4495924,-25.400442
"1072",-1.890401,52.486243
"1076",-99.1495107,19.4356338
"1078",-82.4571776,27.950575
"1084",-77.042754,-12.0463731
"1087",-79.6109049,-3.6873033
"1088",-66.6140616,18.0110768
"1089",-46.6333094,-23.5505199
"1090",9.501785,56.26392
"1091",-99.1013498,18.6813049
"1096",-77.0368707,38.9071923
"1098",-79.8184684,-3.2368706
"1099",-73.9712488,40.7830603
"1102",-79.9668308,-3.4593888
"1103",12.8856556,49.0800394
"1104",1.444209,43.604652
"1111",-80.799583,35.203767
"1112",-87.6806932,41.9429811
"1113",-79.8882,-2.2000444
"1116",-51.2176584,-30.0346471
"1117",-122.1107711,37.6339611
"1120",-2.9605206,58.9809401
"1121",-71.6055123,-33.5922807
"1122",-80.7089101,-0.9676533
"1123",10.9916215,45.4383842
"1124",-105.1273817,39.9193013
"1126",-2.450785,53.353745
"1127",4.4024643,51.2194475
"1131",-87.0611412,41.4730948
"1132",7.6261347,51.9606649
"1134",-70.1356692,-20.2307033
"1135",-80.9450759,35.0073697
"1138",10.2118019,45.5415526
"1140",12.5801539,48.8777333
"1142",-74.2179326,43.2994285
"1143",-98.7623874,20.0910963
"1146",-108.2427502,36.7562059
"1148",20.2038559,47.8057617
"1150",-72.5857979,-38.7402113
"1151",-89.3985283,40.6331249
"1154",-77.0190228,-12.1437266
"1155",0.9707801,52.1872472
"1157",12.3155151,45.4408474
"1159",-65.8203943,18.1551337
"1169",-6.074386,43.3870548
"1170",11.8791853,54.7651204
"1172",-79.0219413,-2.8998316
"1173",-72.4966896,7.8890971
"1175",-80.1917902,25.7616798
"1176",-73.96785,40.757627
"1179",-79.9703547,-1.8636132
"1181",9.576148,39.260999
"1183",-1.154471,51.5759029
"1184",-78.8783689,42.8864468
"1188",-70.3321587,-27.3665763
"1189",8.6221612,45.44693
"1191",-84.9877094,32.4609764
"1192",-102.552784,23.634501
"1194",-79.5940544,-2.1387682
"1195",-68.99002,12.16957
"1196",-71.5897584,-33.0628405
"1200",-57.575926,-25.2637399
"1201",-84.8902382,39.8289369
"1202",-0.4793583,51.8066955
"1203",11.1119574,50.1112251
"1205",-70.7008631,19.4675855
"1212",32.5825197,0.3475964
"1214",-73.2452103,-39.8195857
"1215",7.0192196,51.0459248
"1216",-86.8685313,12.460048
"1218",72.9316612,19.11788
"1219",9.1829321,48.7758459
"1221",-122.9602621,48.6118035
"1223",16.9230944,39.1006118
"1227",11.2486208,43.7710513
"1228",112.2384017,-7.5360639
"1229",22.937506,-30.559482
"1230",11.7910546,45.610247
"1234",9.9936819,53.5510846
"1237",-71.6981538,-33.398596
"1238",34.4877423,0.3332218
"1242",-77.5275463,43.0789942
"1243",8.8016936,53.0792962
"1244",144.9630576,-37.8136276
"1245",9.0924903,55.3307714
"1247",-102.3463875,34.4985047
"1248",11.875492,54.765422
"1250",8.8250576,45.8205989
"1252",3.3792057,6.5243793
"1253",-95.3698028,29.7604267
"1254",-77.0368707,38.9071923
"1257",55.2707828,25.2048493
"1259",30.3350986,59.9342802
"1261",-100.3161126,25.6866142
"1262",16.5527874,40.8253924
"1263",-0.1411087,51.5132459
"1264",-97.7013657,30.3058236
"1267",12.0380948,49.5554229
"1270",5.724524,45.188529
"1272",14.9388853,37.6125984
"1276",139.8828072,36.5551124
"1278",-79.0058965,-2.9001285
"1279",11.0131217,44.4835861
"1280",9.6961167,54.2193672
"1281",7.5889959,50.3569429
"1283",110.6883536,-7.4317773
"1286",101.686855,3.139003
"1288",11.089188,55.686429
"1289",110.3249238,-7.8341286
"1290",-1.890401,52.486243
"1291",12.5542484,55.6991166
"1292",106.8650395,-6.17511
"1293",17.1011931,40.7928393
"1294",2.1734035,41.3850639
"1299",8.6952638,50.0522076
"1301",-106.4111425,23.2494148
"1303",10.5886294,55.8146665
"1305",-0.797897,54.136836
"1306",106.8650395,-6.17511
"1307",11.3307574,43.318809
"1310",-3.7037902,40.4167754
"1311",36.5763184,-0.6063765
"1318",9.3591446,45.6499002
"1319",-86.1349019,40.2671941
"1321",11.5892372,50.927054
"1322",7.0115552,51.4556432
"1323",8.8633326,44.8952122
"1324",-108.985882,25.7904657
"1325",-77.0428891,38.9054805
"1326",12.5683372,55.6760968
"1327",-100.2113828,25.7548646
"1329",9.1624376,50.6520515
"1330",-1.559405,47.207121
"1332",110.3694896,-7.7955798
"1334",106.8650395,-6.17511
"1341",115.66283,-2.2179704
"1344",-95.712891,37.09024
"1345",-87.6707659,41.8030915
"1346",-79.0566596,35.9131668
"1348",-85.6023643,44.3148443
"1350",-81.4498717,37.2232316
"1351",-108.985882,25.7904657
"1352",-3.7037902,40.4167754
"1353",-111.0937311,39.3209801
"1355",-86.1089301,42.7875235
"1358",-106.4111425,23.2494148
"1359",-94.6707917,38.9822282
"1363",-88.0603806,44.4488805
"1364",139.6380256,35.4437078
"1365",-80.7529731,-1.8268465
"1368",-80.1448023,40.7866883
"1370",-87.6297982,41.8781136
"1371",-107.3940117,24.8090649
"1372",134.6734778,34.8530808
"1378",8.227512,46.818188
"1380",-93.3708567,37.2191474
"1381",-70.6692655,-33.4488897
"1389",-76.078042,39.254088
"1391",-122.3447964,47.6147023
"1392",-118.308526,34.0745498
"1393",-70.2553259,43.661471
"1396",-96.7132304,17.0542297
"1397",-122.2055884,47.76095
"1400",-109.9918297,40.2984215
"1401",-117.9389964,33.8080266
"1403",-108.07765,25.4586777
"1404",-85.6206317,44.7630567
"1410",-105.937799,35.6869752
"1418",106.71514,10.814769
"1427",-108.4673051,25.5666987
"1428",-116.3946062,43.5781541
"1431",10.3105674,43.548473
"1433",-72.5795115,42.4663727
"1437",-79.0058965,-2.9001285
"1439",-96.4003069,42.4999942
"1440",-65.8736245,18.1855753
"1441",6.6322734,46.5196535
"1442",-106.4245478,31.6903638
"1443",-122.272747,37.8715926
"1444",-119.5184564,34.3988838
"1448",-95.9979883,41.2523634
"1449",-121.947311,36.8007413
"1451",-100.9855409,22.1564699
"1452",11.895656,45.407095
"1454",-90.1813129,32.2820453
"1455",-79.0067508,-2.8963065
"1457",-76.2080869,36.8144498
"1458",12.56738,41.87194
"1460",-8.6446202,42.4298846
"1463",11.3426162,44.494887
"1465",12.2464292,44.1396438
"1466",-93.847189,44.9635738
"1468",-114.0530065,35.189443
"1469",-68.0591888,-38.9516784
"1471",-79.8711024,43.2557206
"1473",-98.2374954,19.318154
"1476",13.1855702,41.6031895
"1478",-70.6692655,-33.4488897
"1480",10.1927389,42.7781867
"1485",-81.6911559,27.8617347
"1493",13.1033646,46.2259177
"1494",-111.3080244,45.2617806
"1496",-84.264492,33.556215
"1499",7.6615938,51.4332367
"1500",-93.2650108,44.977753
"1501",-97.1330683,33.2148412
"1503",-86.8026611,33.4940089
"1504",-82.9987942,39.9611755
"1505",8.3192949,40.5579517
"1509",-71.6639224,-35.4252666
"1511",9.8450766,52.6367036
"1513",-6.652792,54.3502798
"1515",14.4603206,40.8984445
"1516",12.2430437,45.6668893
"1517",-104.6188943,50.4452112
"1518",-118.3173209,34.0954806
"1522",-73.5107131,45.5369442
"1526",-3.651495,50.792592
"1528",4.469936,50.503887
"1530",-110.9559192,29.0729673
"1534",13.3612671,38.1156879
"1536",-97.3393788,38.0320628
"1539",-110.847022,32.220763
"1540",-70.8781837,-33.6060255
"1541",0.499552,43.741616
"1543",-66.4758583,18.433005
"1544",72.5713621,23.022505
"1545",18.643501,60.128161
"1546",-119.1770516,34.1975048
"1548",-109.9923906,40.3019071
"1550",72.8776559,19.0759837
"1556",-112.2470313,34.5394819
"1558",-81.5157535,27.6648274
"1561",17.9410646,40.6459707
"1562",-0.419084,44.760362
"1563",-63.616672,-38.416097
"1564",1.444209,43.604652
"1568",-101.1949825,19.7059504
"1569",-79.0377388,43.0962143
"1570",-122.3320708,47.6062095
"1571",-97.861099,22.2331041
"1572",7.0115552,51.4556432
"1582",-79.3078787,45.0389565
"1583",-109.9465144,27.5139129
"1589",-71.6484804,-35.4232444
"1592",4.4970097,52.1601144
"1593",-80.2481666,43.5448048
"1596",-117.8265049,33.6845673
"1598",-70.7422748,-34.1649205
"1599",8.9410106,45.5056869
"1603",28.2037114,-25.7372259
"1605",-79.0558445,35.9131996
"1608",-99.2001,19.3404
"1609",-79.2902133,43.0581645
"1615",-80.2481666,43.5448048
"1617",-78.1146866,-2.3051062
"1618",-117.3614806,34.1920507
"1622",-79.3831843,43.653226
"1624",-105.2253316,20.653407
"1625",-82.1338961,29.2016499
"1626",-77.7266088,0.6305477
"1627",-57.575926,-25.2637399
"1628",55.2707828,25.2048493
"1629",-73.8648268,40.8447819
"1630",12.5049241,55.883514
"1632",-2.12882,52.586973
"1633",-70.5573124,-33.3989812
"1635",15.2551187,54.5259614
"1637",-70.3975022,-23.6509279
"1644",-118.4109089,33.8847361
"1649",-79.74961,43.246048
"1651",-78.6568942,21.4691137
"1652",-81.378447,40.7989473
"1653",10.4571001,51.2098649
"1654",7.6615938,51.4332367
"1655",139.8828072,36.5551124
"1657",-80.765361,35.2775488
"1664",14.2681244,40.8517746
"1666",-79.8296743,44.4716525
"1668",-83.5854997,42.0706631
"1669",4.768323,51.5719149
"1670",-72.331113,-40.2310217
"1675",19.040235,47.497912
"1677",15.439504,47.070714
"1678",11.5819805,48.1351253
"1680",-78.4678382,-0.1806532
"1682",115.8078102,-32.0807296
"1686",-70.5312022,-33.3848717
"1687",-79.6903316,44.3893556
"1688",120.6199895,16.0832144
"1691",-2.466115,56.706922
"1692",23.7275388,37.9838096
"1693",8.967322,56.138557
"1696",133.775136,-25.274398
"1698",-73.7738499,-42.6232593
"1699",12.5185583,41.9123441
"1701",1.419597,50.04887
"1704",-0.1601246,52.9451889
"1709",4.4777326,51.9244201
"1712",-71.5723953,43.1938516
"1713",-99.133208,19.4326077
"1715",-72.1023351,-36.6062618
"1719",-73.1149469,-40.5761897
"1721",-71.4408752,-33.0482707
"1725",-73.1149469,-40.5761897
"1726",12.3730747,51.3396955
"1730",-70.7053369,-33.5776482
"1731",-119.2109947,40.7970945
"1733",17.2470303,40.4643606
"1734",77.5945627,12.9715987
"1735",0.38498,52.31187
"1737",19.5687103,-24.3570767
"1738",-0.1101902,51.5307595
"1739",133.775136,-25.274398
"1741",-110.9660794,32.202956
"1745",-71.0833898,42.3627038
"1748",-118.3308603,34.1810092
"1749",-78.60585,-0.931556
"1751",16.3463791,39.3087714
"1753",-72.1257606,45.2773501
"1756",-79.560562,45.03676
"1757",8.459405,55.476466
"1759",-83.9439397,33.6178706
"1760",11.0766654,49.4521018
"1761",13.404954,52.5200066
"1762",12.4963655,41.9027835
"1766",11.8767611,45.4064349
"1774",101.6704523,3.1132444
"1775",-96.927079,35.368536
"1778",-87.9055738,43.0508937
"1779",-102.5832426,22.7708555
"1780",-121.9808531,37.228331
"1785",121.774017,12.879721
"1787",101.975766,4.210484
"1791",-102.5832426,22.7708555
"1792",139.5932055,35.9773805
"1795",72.8375707,18.9720512
"1796",135.1830706,34.6912688
"1801",-95.666192,29.649739
"1802",-72.8305154,41.8096201
"1803",-80.3997748,26.1003654
"1804",-92.5249756,41.58551
"1805",-83.8888647,43.5944677
"1806",108.9788818,34.2889919
"1809",143.8502556,-37.5621587
"1811",-71.2399037,-33.1065458
"1812",-83.5023135,41.6887706
"1814",8.6724335,49.3987524
"1815",-94.5785667,39.0997265
"1821",-87.0470078,41.4860046
"1825",-95.3698028,29.7604267
"1829",-81.4889179,28.455502
"1832",-75.413397,40.086171
"1834",-121.1196582,46.6206986
"1835",-81.655651,30.3321838
"1842",-99.2037508,19.5094012
"1843",-97.3242332,37.750381
"1846",-104.8202462,41.1399814
"1847",-119.6981901,34.4208305
"1851",24.9383791,60.1698557
"1853",15.0830304,37.5078772
"1855",-100.9855409,22.1564699
"1859",-73.247491,-39.8129838
"1861",-75.6691652,45.319212
"1865",-74.5402506,40.2677539
"1869",-102.5832426,22.7708555
"1870",-94.1800384,30.7918476
"1874",-77.297508,18.109581
"1876",-87.663045,41.8810644
"1879",-79.9471253,32.7843404
"1880",11.8767611,45.4064349
"1883",-123.1207375,49.2827291
"1885",83.9310623,28.5983159
"1886",-119.0376023,34.2163937
"1892",-73.1409429,40.9256538
"1893",-79.2331085,45.3356885
"1895",-96.1342241,19.173773
"1900",-78.6950804,35.8143669
"1901",-95.7983076,35.9741965
"1902",-80.1494901,26.0112014
"1903",-76.6121893,39.2903848
"1904",-118.3430208,46.0645809
"1905",-46.6333094,-23.5505199
"1906",-80.2621852,40.615537
"1908",-8.4863157,51.8968917
"1911",-98.7591311,20.1010608
"1912",-101.1949825,19.7059504
"1915",-81.455364,42.8024637
"1916",-84.4159527,33.5969248
"1918",-100.9855409,22.1564699
"1919",-76.4921829,38.9784453
"1923",-104.8697878,38.8784456
"1924",-101.7068294,19.5665192
"1926",-122.0838511,37.3860517
"1928",-71.0994968,42.3875968
"1929",11.8796336,43.4632839
"1933",3.4127817,51.1389261
"1935",-72.3612251,-37.4629159
"1937",-72.6737875,-37.5059062
"1944",-89.4012302,43.0730517
"1945",-0.6016021,51.8032442
"1947",-85.5800022,42.2011538
"1948",15.04804,37.472075
"1949",-8.1338558,42.5750554
"1950",-78.2647004,0.3071217
"1951",-77.285787,1.2058837
"1952",-95.9145568,41.1543623
"1954",29.0609636,40.1885281
"1955",12.1420298,43.2472265
"1956",-90.5776367,41.5236437
"1958",-72.0995209,41.3556539
"1959",-89.2199264,37.7093735
"1960",-73.9807922,40.6394284
"1961",-113.7746723,50.3463355
"1962",-110.9559192,29.0729673
"1964",-1.248519,51.757129
"1965",-122.801094,49.1044302
"1967",-83.6499321,41.04422
"1968",-100.0170787,37.7527982
"1970",15.8056041,40.6404067
"1971",11.2186396,44.5967607
"1972",-71.463284,42.9963655
"1976",-123.133569,49.1665898
"1978",-72.6655757,41.6572525
"1979",-123.0943686,48.0785843
"1980",10.0181593,53.4939965
"1981",7.6261347,51.9606649
"1984",-111.8568586,31.8500823
"1985",-123.3873877,44.6281686
"1987",-81.609844,41.127833
"1990",-94.4636025,39.0104563
"1991",2.3112488,48.8403734
"1992",-101.6859605,21.1250077
"1993",-77.0469214,38.8048355
"1994",123.8854366,10.3156992
"1996",-73.9973608,41.9270367
"1997",-94.9271868,38.8108408
"1999",19.8335496,45.2671352
"2001",-87.8411818,42.325578
"2004",-81.7981908,41.4819932
"2012",-99.0816784,40.6993303
"2014",-66.0387235,18.2138036
